uts,value,time
1605099040,86,2020/11/11 12:50
1605099043,86,2020/11/11 12:50
1605099046,86,2020/11/11 12:50
1605099049,86,2020/11/11 12:50
1605099052,86,2020/11/11 12:50
1605099055,86,2020/11/11 12:50
1605099058,86,2020/11/11 12:50
1605099059,86,2020/11/11 12:50
1605099062,86,2020/11/11 12:51
1605099065,86,2020/11/11 12:51
1605099068,86,2020/11/11 12:51
1605099071,86,2020/11/11 12:51
1605099072,85,2020/11/11 12:51
1605099073,85,2020/11/11 12:51
1605099076,85,2020/11/11 12:51
1605099079,85,2020/11/11 12:51
1605099081,83,2020/11/11 12:51
1605099082,81,2020/11/11 12:51
1605099084,80,2020/11/11 12:51
1605099086,79,2020/11/11 12:51
1605099087,80,2020/11/11 12:51
1605099088,81,2020/11/11 12:51
1605099089,82,2020/11/11 12:51
1605099090,83,2020/11/11 12:51
1605099091,84,2020/11/11 12:51
1605099094,84,2020/11/11 12:51
1605099097,84,2020/11/11 12:51
1605099100,84,2020/11/11 12:51
1605099103,84,2020/11/11 12:51
1605099106,83,2020/11/11 12:51
1605099109,83,2020/11/11 12:51
1605099112,83,2020/11/11 12:51
1605099115,83,2020/11/11 12:51
1605099117,82,2020/11/11 12:51
1605099118,82,2020/11/11 12:51
1605099121,80,2020/11/11 12:52
1605099122,80,2020/11/11 12:52
1605099125,80,2020/11/11 12:52
1605099128,80,2020/11/11 12:52
1605099131,81,2020/11/11 12:52
1605099133,80,2020/11/11 12:52
1605099136,80,2020/11/11 12:52
1605099137,81,2020/11/11 12:52
1605099140,81,2020/11/11 12:52
1605099141,82,2020/11/11 12:52
1605099144,82,2020/11/11 12:52
1605099145,79,2020/11/11 12:52
1605099146,79,2020/11/11 12:52
1605099148,77,2020/11/11 12:52
1605099151,77,2020/11/11 12:52
1605099154,78,2020/11/11 12:52
1605099155,80,2020/11/11 12:52
1605099156,81,2020/11/11 12:52
1605099157,82,2020/11/11 12:52
1605099158,83,2020/11/11 12:52
1605099160,82,2020/11/11 12:52
1605099163,82,2020/11/11 12:52
1605099164,82,2020/11/11 12:52
1605099167,82,2020/11/11 12:52
1605099169,81,2020/11/11 12:52
1605099171,80,2020/11/11 12:52
1605099172,80,2020/11/11 12:52
1605099175,80,2020/11/11 12:52
1605099176,80,2020/11/11 12:52
1605099179,80,2020/11/11 12:52
1605099182,80,2020/11/11 12:53
1605099185,80,2020/11/11 12:53
1605099188,80,2020/11/11 12:53
1605099190,79,2020/11/11 12:53
1605099193,79,2020/11/11 12:53
1605099196,79,2020/11/11 12:53
1605099199,79,2020/11/11 12:53
1605099202,79,2020/11/11 12:53
1605099205,79,2020/11/11 12:53
1605099206,75,2020/11/11 12:53
1605099207,74,2020/11/11 12:53
1605099208,75,2020/11/11 12:53
1605099210,76,2020/11/11 12:53
1605099213,76,2020/11/11 12:53
1605099216,76,2020/11/11 12:53
1605099218,77,2020/11/11 12:53
1605099221,77,2020/11/11 12:53
1605099224,77,2020/11/11 12:53
1605099227,78,2020/11/11 12:53
1605099230,78,2020/11/11 12:53
1605099233,78,2020/11/11 12:53
1605099236,78,2020/11/11 12:53
1605099237,79,2020/11/11 12:53
1605099238,79,2020/11/11 12:53
1605099239,81,2020/11/11 12:53
1605099240,82,2020/11/11 12:54
1605099242,84,2020/11/11 12:54
1605099243,84,2020/11/11 12:54
1605099244,85,2020/11/11 12:54
1605099247,85,2020/11/11 12:54
1605099250,85,2020/11/11 12:54
1605099253,84,2020/11/11 12:54
1605099256,84,2020/11/11 12:54
1605099259,84,2020/11/11 12:54
1605099262,84,2020/11/11 12:54
1605099265,84,2020/11/11 12:54
1605099268,84,2020/11/11 12:54
1605099271,84,2020/11/11 12:54
