uts,value,time
1605098893,74,2020/11/11 12:48
1605098896,74,2020/11/11 12:48
1605098898,73,2020/11/11 12:48
1605098901,72,2020/11/11 12:48
1605098904,72,2020/11/11 12:48
1605098907,72,2020/11/11 12:48
1605098909,73,2020/11/11 12:48
1605098910,74,2020/11/11 12:48
1605098912,75,2020/11/11 12:48
1605098915,75,2020/11/11 12:48
1605098918,75,2020/11/11 12:48
1605098921,75,2020/11/11 12:48
1605098922,75,2020/11/11 12:48
1605098925,75,2020/11/11 12:48
1605098928,75,2020/11/11 12:48
1605098931,75,2020/11/11 12:48
1605098933,76,2020/11/11 12:48
1605098936,76,2020/11/11 12:48
1605098939,75,2020/11/11 12:48
1605098942,74,2020/11/11 12:49
1605098945,74,2020/11/11 12:49
1605098946,73,2020/11/11 12:49
1605098949,73,2020/11/11 12:49
1605098952,73,2020/11/11 12:49
1605098954,74,2020/11/11 12:49
1605098955,75,2020/11/11 12:49
1605098957,76,2020/11/11 12:49
1605098959,77,2020/11/11 12:49
1605098962,77,2020/11/11 12:49
1605098965,77,2020/11/11 12:49
1605098968,78,2020/11/11 12:49
1605098971,79,2020/11/11 12:49
1605098974,79,2020/11/11 12:49
1605098976,79,2020/11/11 12:49
1605098977,79,2020/11/11 12:49
1605098980,79,2020/11/11 12:49
1605098983,79,2020/11/11 12:49
1605098986,79,2020/11/11 12:49
1605098989,79,2020/11/11 12:49
1605098990,79,2020/11/11 12:49
1605098993,79,2020/11/11 12:49
1605098994,78,2020/11/11 12:49
1605098997,78,2020/11/11 12:49
1605098998,76,2020/11/11 12:49
1605098999,75,2020/11/11 12:49
1605099000,74,2020/11/11 12:50
1605099001,74,2020/11/11 12:50
1605099004,74,2020/11/11 12:50
1605099007,74,2020/11/11 12:50
1605099010,74,2020/11/11 12:50
1605099013,72,2020/11/11 12:50
1605099015,72,2020/11/11 12:50
1605099018,68,2020/11/11 12:50
1605099021,68,2020/11/11 12:50
1605099022,69,2020/11/11 12:50
1605099025,69,2020/11/11 12:50
1605099028,70,2020/11/11 12:50
1605099031,70,2020/11/11 12:50
1605099032,71,2020/11/11 12:50
1605099034,72,2020/11/11 12:50
1605099036,72,2020/11/11 12:50
1605099037,73,2020/11/11 12:50
1605099038,74,2020/11/11 12:50
1605099041,74,2020/11/11 12:50
1605099044,74,2020/11/11 12:50
1605099047,73,2020/11/11 12:50
1605099048,73,2020/11/11 12:50
1605099051,73,2020/11/11 12:50
1605099054,73,2020/11/11 12:50
1605099057,73,2020/11/11 12:50
1605099060,73,2020/11/11 12:51
1605099063,73,2020/11/11 12:51
1605099065,72,2020/11/11 12:51
1605099068,71,2020/11/11 12:51
1605099071,72,2020/11/11 12:51
1605099074,72,2020/11/11 12:51
1605099076,73,2020/11/11 12:51
1605099077,74,2020/11/11 12:51
1605099079,75,2020/11/11 12:51
1605099082,75,2020/11/11 12:51
1605099085,75,2020/11/11 12:51
1605099086,74,2020/11/11 12:51
1605099088,74,2020/11/11 12:51
1605099090,74,2020/11/11 12:51
1605099091,73,2020/11/11 12:51
1605099094,73,2020/11/11 12:51
1605099096,72,2020/11/11 12:51
1605099099,72,2020/11/11 12:51
1605099101,71,2020/11/11 12:51
1605099103,72,2020/11/11 12:51
1605099105,73,2020/11/11 12:51
1605099107,74,2020/11/11 12:51
